@Caption,ブロードバンドサービス等の契約数の推移,,,,,,,
@Creator,総合通信基盤局電気通信事業部データ通信課,,,,,,,
@Date,2021/6/30,,,,,,,
@Language,ja,,,,,,,
@@Title,,,,,,,,
西暦年,四半期,都道府県名,FTTH,DSL,CATV,FWA,BWA,LTE
@@Unit,,,,,,,,
年,期末,,契約数,契約数,契約数,契約数,契約数,契約数
@@Datatype,,,,,,,,
xsd:string,xsd:string,xsd:string,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer
2007,Q3,都道府県計,"10,508,769","13,483,359","3,748,038","12,451",-,-
2007,Q3,北海道,"394,970","536,823","75,393","2,142",-,-
2007,Q3,青森県,"47,829","125,400","12,665",143,-,-
2007,Q3,岩手県,"54,422","121,789","9,491",20,-,-
2007,Q3,宮城県,"165,941","242,223","29,306",239,-,-
2007,Q3,秋田県,"46,007","96,037","19,841",0,-,-
2007,Q3,山形県,"57,537","111,820","14,992",0,-,-
2007,Q3,福島県,"108,179","179,388",806,6,-,-
2007,Q3,茨城県,"141,316","333,660","42,610",0,-,-
2007,Q3,栃木県,"110,121","208,439","48,042",0,-,-
2007,Q3,群馬県,"117,981","229,973","17,339",1,-,-
2007,Q3,埼玉県,"615,435","801,928","228,733",421,-,-
2007,Q3,千葉県,"576,391","700,654","179,406",577,-,-
2007,Q3,東京都,"2,023,363","1,809,477","497,219","1,273",-,-
2007,Q3,神奈川県,"980,713","1,137,655","353,625","1,904",-,-
2007,Q3,新潟県,"105,501","256,896","22,213",5,-,-
2007,Q3,富山県,"48,690","82,359","80,709",226,-,-
2007,Q3,石川県,"74,162","114,238","31,650",161,-,-
2007,Q3,福井県,"39,925","57,582","58,120",0,-,-
2007,Q3,山梨県,"48,755","92,803","23,005",7,-,-
2007,Q3,長野県,"102,430","217,315","89,138",1,-,-
2007,Q3,岐阜県,"110,159","190,120","78,092",659,-,-
2007,Q3,静岡県,"226,507","508,349","69,309",240,-,-
2007,Q3,愛知県,"568,178","766,321","325,876",29,-,-
2007,Q3,三重県,"80,027","127,118","176,131",142,-,-
2007,Q3,滋賀県,"150,086","121,397","16,789",0,-,-
2007,Q3,京都府,"287,604","323,384","16,695",11,-,-
2007,Q3,大阪府,"988,920","927,856","360,759",84,-,-
2007,Q3,兵庫県,"487,131","554,489","168,901",6,-,-
2007,Q3,奈良県,"110,472","151,021","36,487",18,-,-
2007,Q3,和歌山県,"77,477","79,471","25,730",16,-,-
2007,Q3,鳥取県,"27,821","48,030","22,496",0,-,-
2007,Q3,島根県,"27,322","59,801","22,200",96,-,-
2007,Q3,岡山県,"117,696","188,156","56,591",769,-,-
2007,Q3,広島県,"246,658","285,824","28,834",232,-,-
2007,Q3,山口県,"63,481","124,388","76,291",94,-,-
2007,Q3,徳島県,"43,245","70,657","24,472",130,-,-
2007,Q3,香川県,"49,916","110,710","24,559",374,-,-
2007,Q3,愛媛県,"68,006","144,256","29,985",99,-,-
2007,Q3,高知県,"36,463","64,132","6,283",58,-,-
2007,Q3,福岡県,"427,681","476,097","118,812",98,-,-
2007,Q3,佐賀県,"27,234","59,854","26,026",0,-,-
2007,Q3,長崎県,"51,585","118,886","43,136",432,-,-
2007,Q3,熊本県,"105,375","135,022","26,101",741,-,-
2007,Q3,大分県,"63,285","80,721","58,581",117,-,-
2007,Q3,宮崎県,"52,483","73,584","43,927",361,-,-
2007,Q3,鹿児島県,"87,550","131,577","5,369",123,-,-
2007,Q3,沖縄県,"66,739","105,679","25,303",396,-,-
2007,Q4,都道府県計,"11,330,212","13,133,042","3,827,413","12,594",-,-
2007,Q4,北海道,"427,637","524,542","76,347","2,126",-,-
2007,Q4,青森県,"52,673","124,525","12,960",143,-,-
2007,Q4,岩手県,"61,454","119,059","9,634",20,-,-
2007,Q4,宮城県,"178,175","237,165","30,010",235,-,-
2007,Q4,秋田県,"50,033","95,405","20,133",0,-,-
2007,Q4,山形県,"64,421","108,333","14,970",0,-,-
2007,Q4,福島県,"116,919","177,311",810,6,-,-
2007,Q4,茨城県,"159,241","327,120","43,123",0,-,-
2007,Q4,栃木県,"122,334","203,958","48,862",0,-,-
2007,Q4,群馬県,"131,609","224,444","17,669",1,-,-
2007,Q4,埼玉県,"662,932","778,409","234,656",433,-,-
2007,Q4,千葉県,"614,925","682,118","184,982",577,-,-
